dataset,model,fold,subject,cheat_thr
INTA-UCH,v2_time,14,9,0.30
INTA-UCH,v2_time,14,10,0.46
INTA-UCH,v2_cwt1d,0,3,0.38
INTA-UCH,v2_cwt1d,0,9,0.40
INTA-UCH,v2_cwt1d,1,5,0.30
INTA-UCH,v2_cwt1d,1,10,0.46
INTA-UCH,v2_cwt1d,2,2,0.48
INTA-UCH,v2_cwt1d,2,7,0.52
INTA-UCH,v2_cwt1d,3,4,0.50
INTA-UCH,v2_cwt1d,3,8,0.78
INTA-UCH,v2_cwt1d,4,1,0.68
INTA-UCH,v2_cwt1d,4,6,0.54
INTA-UCH,v2_cwt1d,5,3,0.38
INTA-UCH,v2_cwt1d,5,10,0.56
INTA-UCH,v2_cwt1d,6,5,0.30
INTA-UCH,v2_cwt1d,6,7,0.60
INTA-UCH,v2_cwt1d,7,1,0.56
INTA-UCH,v2_cwt1d,7,4,0.48
INTA-UCH,v2_cwt1d,8,2,0.60
INTA-UCH,v2_cwt1d,8,8,0.86
INTA-UCH,v2_cwt1d,9,6,0.52
INTA-UCH,v2_cwt1d,9,9,0.44
INTA-UCH,v2_cwt1d,10,2,0.52
INTA-UCH,v2_cwt1d,10,5,0.36
INTA-UCH,v2_cwt1d,11,1,0.66
INTA-UCH,v2_cwt1d,11,6,0.56
INTA-UCH,v2_cwt1d,12,3,0.38
INTA-UCH,v2_cwt1d,12,8,0.70
INTA-UCH,v2_cwt1d,13,4,0.46
INTA-UCH,v2_cwt1d,13,7,0.54
INTA-UCH,v2_cwt1d,14,9,0.42
INTA-UCH,v2_cwt1d,14,10,0.50
