dataset,model,fold,subject,minutes,adapt_thr
MASS-SS2-E1SS,v2_time,13,3,30.00,0.50
MASS-SS2-E1SS,v2_time,13,9,3.00,0.66
MASS-SS2-E1SS,v2_time,13,9,5.00,0.54
MASS-SS2-E1SS,v2_time,13,9,7.50,0.54
MASS-SS2-E1SS,v2_time,13,9,10.00,0.54
MASS-SS2-E1SS,v2_time,13,9,15.00,0.84
MASS-SS2-E1SS,v2_time,13,9,20.00,0.86
MASS-SS2-E1SS,v2_time,13,9,25.00,0.86
MASS-SS2-E1SS,v2_time,13,9,30.00,0.46
MASS-SS2-E1SS,v2_time,13,17,3.00,0.94
MASS-SS2-E1SS,v2_time,13,17,5.00,0.88
MASS-SS2-E1SS,v2_time,13,17,7.50,0.88
MASS-SS2-E1SS,v2_time,13,17,10.00,0.88
MASS-SS2-E1SS,v2_time,13,17,15.00,0.88
MASS-SS2-E1SS,v2_time,13,17,20.00,0.88
MASS-SS2-E1SS,v2_time,13,17,25.00,0.64
MASS-SS2-E1SS,v2_time,13,17,30.00,0.64
MASS-SS2-E1SS,v2_time,14,11,3.00,0.52
MASS-SS2-E1SS,v2_time,14,11,5.00,0.68
MASS-SS2-E1SS,v2_time,14,11,7.50,0.62
MASS-SS2-E1SS,v2_time,14,11,10.00,0.64
MASS-SS2-E1SS,v2_time,14,11,15.00,0.64
MASS-SS2-E1SS,v2_time,14,11,20.00,0.64
MASS-SS2-E1SS,v2_time,14,11,25.00,0.64
MASS-SS2-E1SS,v2_time,14,11,30.00,0.64
MASS-SS2-E1SS,v2_time,14,18,3.00,0.08
MASS-SS2-E1SS,v2_time,14,18,5.00,0.08
MASS-SS2-E1SS,v2_time,14,18,7.50,0.04
MASS-SS2-E1SS,v2_time,14,18,10.00,0.08
MASS-SS2-E1SS,v2_time,14,18,15.00,0.08
MASS-SS2-E1SS,v2_time,14,18,20.00,0.10
MASS-SS2-E1SS,v2_time,14,18,25.00,0.18
MASS-SS2-E1SS,v2_time,14,18,30.00,0.18
MASS-SS2-E1SS,v2_time,14,19,3.00,0.60
MASS-SS2-E1SS,v2_time,14,19,5.00,0.52
MASS-SS2-E1SS,v2_time,14,19,7.50,0.44
MASS-SS2-E1SS,v2_time,14,19,10.00,0.44
MASS-SS2-E1SS,v2_time,14,19,15.00,0.46
MASS-SS2-E1SS,v2_time,14,19,20.00,0.56
MASS-SS2-E1SS,v2_time,14,19,25.00,0.56
MASS-SS2-E1SS,v2_time,14,19,30.00,0.44
MASS-SS2-E1SS,v2_cwt1d,0,2,3.00,0.04
MASS-SS2-E1SS,v2_cwt1d,0,2,5.00,0.26
MASS-SS2-E1SS,v2_cwt1d,0,2,7.50,0.26
MASS-SS2-E1SS,v2_cwt1d,0,2,10.00,0.26
MASS-SS2-E1SS,v2_cwt1d,0,2,15.00,0.26
MASS-SS2-E1SS,v2_cwt1d,0,2,20.00,0.12
MASS-SS2-E1SS,v2_cwt1d,0,2,25.00,0.08
MASS-SS2-E1SS,v2_cwt1d,0,2,30.00,0.08
MASS-SS2-E1SS,v2_cwt1d,0,9,3.00,0.58
MASS-SS2-E1SS,v2_cwt1d,0,9,5.00,0.38
MASS-SS2-E1SS,v2_cwt1d,0,9,7.50,0.46
